movieCd,link,imgurl,rate,감독,연도,제목,비고
20196309,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173123,https://ssl.pstatic.net/imgmovie/mdi/mit110/1731/173123_P06_135928.jpg,8.36,"['존 왓츠', '존 왓츠|']","['2019', '2019']","['스파이더맨: 파 프롬 홈', '스파이더맨: 파 프롬 홈']",동명영화 없음
20183867,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163788,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163788_P18_105943.jpg,9.43,"['가이 리치', '가이 리치']","['2019', '2019']","['알라딘', '알라딘']",fit
20184047,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101966,https://ssl.pstatic.net/imgmovie/mdi/mit110/1019/101966_P09_114632.jpg,9.08,"['조시 쿨리', '조시 쿨리']","['2019', '2019']","['토이 스토리 4', '토이 스토리 4']",fit
20185353,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180209,https://ssl.pstatic.net/imgmovie/mdi/mit110/1802/180209_P42_134851.jpg,5.90,"['남대중', '남대중|']","['2019', '2019']","['기방도령', '기방도령']",동명영화 없음
20183782,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161967,https://ssl.pstatic.net/imgmovie/mdi/mit110/1619/161967_P80_151640.jpg,8.50,"['봉준호', '봉준호']","['2019', '2019']","['기생충', '기생충']",fit
20185986,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174834,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174834_P53_105510.jpg,7.37,"['고정욱', '고정욱']","['2019', '2018']","['진범', '진범']",fit
20191601,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183783,https://ssl.pstatic.net/imgmovie/mdi/mit110/1837/183783_P16_105340.jpg,4.08,"['히라야마 미호', '히라야마 미호|']","['2019', '2019']","['극장판 엉덩이 탐정: 화려한 사건 수첩', '극장판 엉덩이 탐정: 화려한 사건 수첩']",동명영화 없음
20199951,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183850,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183850_P16_113434.jpg,6.74,"['게리 도버먼', '게리 도버먼|']","['2019', '2019']","['애나벨 집으로', '애나벨 집으로']",동명영화 없음
20196655,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181698,https://ssl.pstatic.net/imgmovie/mdi/mit110/1816/181698_P38_102749.jpg,8.27,"['채드 스타헬스키', '채드 스타헬스키|']","['2019', '2019']","['존 윅 3: 파라벨룸', '존 윅 3: 파라벨룸']",동명영화 없음
20192151,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182014,https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182014_P09_102330.jpg,6.93,"['아리 애스터', '아리 에스터|']","['2019', '2019']","['미드소마', '미드소마']",동명영화 없음
20198453,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179125,https://ssl.pstatic.net/imgmovie/mdi/mit110/1791/179125_P44_162751.jpg,7.64,"['강윤성', '강윤성|']","['2019', '2019']","['롱 리브 더 킹: 목포 영웅', '롱 리브 더 킹: 목포 영웅']",동명영화 없음
20190273,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183836,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183836_P33_161902.jpg,8.75,"['로버트 페르난데스', '로버트 페르난데스|']","['2019', '2019']","['천로역정: 천국을 찾아서', '천로역정: 천국을 찾아서']",동명영화 없음
20182585,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179875,https://ssl.pstatic.net/imgmovie/mdi/mit110/1798/179875_P37_142918.jpg,5.57,"['이정호', '이정호']","['2019', '2019']","['비스트', '비스트']",fit
20192591,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183666,https://ssl.pstatic.net/imgmovie/mdi/mit110/1836/183666_P01_135734.jpg,0.00,"['', '노영미|강소연|김태진|이민섭|이광재|']","['', '2019']","['BIFAN2019 판타스틱 단편 걸작선 1', 'BIFAN2019 판타스틱 단편 걸작선 1']",동명영화 없음
20192022,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167633,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167633_P18_100754.jpg,6.92,"['닐 조단', '닐 조단|']","['2019', '2018']","['마담 싸이코', '마담 싸이코']",동명영화 없음
20196657,https://movie.naver.com/movie/bi/mi/basic.nhn?code=97631,https://ssl.pstatic.net/imgmovie/mdi/mit110/0976/97631_P49_094859.jpg,5.30,"['F. 게리 그레이', 'F. 게리 그레이|']","['2019', '2019']","['맨 인 블랙: 인터내셔널', '맨 인 블랙: 인터내셔널']",동명영화 없음
20190885,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183820,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183820_P08_141424.jpg,7.00,"['라스 클리브버그', '라스 클리브버그']","['2019', '2019']","['사탄의 인형', '사탄의 인형']",fit
20182387,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164125,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164125_P65_143635.jpg,6.47,"['사이먼 킨버그', '사이먼 킨버그|']","['2019', '2019']","['엑스맨: 다크 피닉스', '엑스맨: 다크 피닉스']",동명영화 없음
20190466,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137865,https://ssl.pstatic.net/imgmovie/mdi/mit110/1378/137865_P17_113027.jpg,8.89,"['미미 레더', '미미 레더|']","['2019', '2018']","['세상을 바꾼 변호인', '세상을 바꾼 변호인']",동명영화 없음
19880001,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18781,https://ssl.pstatic.net/imgmovie/mdi/mit110/0187/18781_P40_110031.jpg,9.26,"['미야자키 하야오', '미야자키 하야오|']","['2001', '1988']","['이웃집 토토로', '이웃집 토토로']",동명영화 없음
20191401,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167053,https://ssl.pstatic.net/imgmovie/mdi/mit110/1670/167053_P13_111013.jpg,8.55,"['닐 버거', '닐 버거']","['2019', '2017']","['업사이드', '업사이드']",fit
20198291,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181704,https://ssl.pstatic.net/imgmovie/mdi/mit110/1817/181704_P35_105923.jpg,8.13,"['덱스터 플레처', '덱스터 플레처']","['2019', '2019']","['로켓맨', '로켓맨']",fit
20184889,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136900,https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136900_P57_104126.jpg,9.39,"['안소니 루소', '안소니 루소|조 루소|']","['2019', '2019']","['어벤져스: 엔드게임', '어벤져스: 엔드게임']",동명영화 없음
20188941,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177967,https://ssl.pstatic.net/imgmovie/mdi/mit110/1779/177967_P50_114447.jpg,7.93,"['이원태', '이원태']","['2019', '2019']","['악인전', '악인전']",fit
20184865,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137327,https://ssl.pstatic.net/imgmovie/mdi/mit110/1373/137327_P17_171853.jpg,7.25,"['마이클 도허티', '마이클 도허티']","['2019', '2019']","['고질라: 킹 오브 몬스터', '고질라: 킹 오브 몬스터']",fit
20199063,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183870,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183870_P25_095540.jpg,8.05,"['신우', '신우|']","['2019', '2018']","['빅샤크2: 해저2만리', '빅샤크2: 해저2만리']",동명영화 없음
20188144,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177371,https://ssl.pstatic.net/imgmovie/mdi/mit110/1773/177371_P20_114332.jpg,5.05,"['유선동', '유선동|']","['2019', '2018']","['0.0MHz', '0.0MHz']",동명영화 없음
20184082,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174065,https://ssl.pstatic.net/imgmovie/mdi/mit110/1740/174065_P44_174038.jpg,5.67,"['정다원', '정다원']","['2019', '2018']","['걸캅스', '걸캅스']",fit
20199448,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180169,https://ssl.pstatic.net/imgmovie/mdi/mit110/1801/180169_P64_101528.jpg,9.00,"['장규성', '장규성|']","['2019', '2019']","['어린 의뢰인', '어린 의뢰인']",동명영화 없음
20198597,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183132,https://ssl.pstatic.net/imgmovie/mdi/mit110/1831/183132_P05_134901.jpg,9.28,"['이호경', '이호경']","['2019', '2019']","['교회오빠', '교회오빠']",fit
20199822,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181701,https://ssl.pstatic.net/imgmovie/mdi/mit110/1817/181701_P09_111143.jpg,4.95,"['데이빗 야로베스키', '데이비드 야로베스키']","['2019', '2019']","['더 보이', '더 보이']",fit
20187981,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177483,https://ssl.pstatic.net/imgmovie/mdi/mit110/1774/177483_P122_133507.jpg,8.91,"['홍승완', '홍승완']","['2019', '2018']","['배심원들', '배심원들']",fit
20198598,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167657,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167657_P03_163928.jpg,8.12,"['롭 레터맨', '롭 레터맨|']","['2019', '2019']","['명탐정 피카츄', '명탐정 피카츄']",동명영화 없음
20185784,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175366,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175366_P31_101140.jpg,8.90,"['육상효', '육상효|']","['2019', '2018']","['나의 특별한 형제', '나의 특별한 형제']",동명영화 없음
20198183,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183136,https://ssl.pstatic.net/imgmovie/mdi/mit110/1831/183136_P10_134628.jpg,9.28,"['김현호', '김현호|윤창섭|']","['2019', '2019']","['뽀로로 극장판 보물섬 대모험', '뽀로로 극장판 보물섬 대모험']",동명영화 없음
20185384,https://movie.naver.com/movie/bi/mi/basic.nhn?code=165022,https://ssl.pstatic.net/imgmovie/mdi/mit110/1650/165022_P15_153454.jpg,9.11,"['앤소니 마라스', '안소니 마라스|']","['2019', '2018']","['호텔 뭄바이', '호텔 뭄바이']",동명영화 없음
20197503,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151550,https://ssl.pstatic.net/imgmovie/mdi/mit110/1515/151550_P22_095949.jpg,6.87,"['루카 구아다니노', '루카 구아다니노']","['2019', '2018']","['서스페리아', '서스페리아']",fit
20197147,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182012,https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182012_P08_135215.jpg,9.18,"['캘리 애스버리', '켈리 애스버리|']","['2019', '2019']","['어글리 돌', '어글리 돌']",동명영화 없음
20169323,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148863,https://ssl.pstatic.net/imgmovie/mdi/mit110/1488/148863_P10_094956.jpg,8.35,"['미즈노 시게노리', '미즈노 시게노리']","['2019', '2016']","['안도 타다오', '안도 타다오']",fit
20183096,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174050,https://ssl.pstatic.net/imgmovie/mdi/mit110/1740/174050_P32_172314.jpg,7.15,"['이종언', '이종언']","['2019', '2018']","['생일', '생일']",fit
20181877,https://movie.naver.com/movie/bi/mi/basic.nhn?code=132623,https://ssl.pstatic.net/imgmovie/mdi/mit110/1326/132623_P22_133853.jpg,6.74,"['애너 보든', '애너 보든|라이언 플렉']","['2019', '2019']","['캡틴 마블', '캡틴 마블']",fit
20060347,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49336,https://ssl.pstatic.net/imgmovie/mdi/mit110/0493/49336_P59_105053.jpg,7.90,"['길예르모 델 토로', '기예르모 델 토로|']","['2006', '2006']","['판의 미로 - 오필리아와 세 개의 열쇠', '판의 미로 - 오필리아와 세 개의 열쇠']",동명영화 없음
20199736,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184253,https://ssl.pstatic.net/imgmovie/mdi/mit110/1842/184253_P10_155905.jpg,8.86,"['크리스찬 하스', '안드레아 블록|크리스티안 하스|']","['2019', '2019']","['프렌즈: 둥지탈출', '프렌즈: 둥지탈출']",동명영화 없음
20183454,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180399,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180399_P00_154546.jpg,6.90,"['마이클 차베즈', '마이클 차베즈|']","['2019', '2019']","['요로나의 저주', '요로나의 저주']",동명영화 없음
20180825,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171785,https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171785_P84_181225.jpg,8.31,"['김윤석', '김윤석']","['2019', '2018']","['미성년', '미성년']",fit
20198982,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159845,https://ssl.pstatic.net/imgmovie/mdi/mit110/1598/159845_P12_102707.jpg,8.84,"['강지은', '강지은|']","['2019', '2018']","['크게 될 놈', '크게 될 놈']",동명영화 없음
19990220,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24830,https://ssl.pstatic.net/imgmovie/mdi/mit110/0248/24830_P18_133358.jpg,9.07,"['로저 미첼', '로저 미첼|']","['1999', '1999']","['노팅 힐', '노팅 힐']",동명영화 없음
20176103,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163608,https://ssl.pstatic.net/imgmovie/mdi/mit110/1636/163608_P43_141047.jpg,7.43,"['박누리', '박누리']","['2019', '2018']","['돈', '돈']",fit
20198104,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168045,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168045_P15_100136.jpg,8.47,"['아담 맥케이', '아담 맥케이']","['2019', '2018']","['바이스', '바이스']",fit
20185406,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164200,https://ssl.pstatic.net/imgmovie/mdi/mit110/1642/164200_P05_105455.jpg,6.87,"['닐 마샬', '닐 마샬']","['2019', '2019']","['헬보이', '헬보이']",fit
20182501,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173667,https://ssl.pstatic.net/imgmovie/mdi/mit110/1736/173667_P27_101947.jpg,5.30,"['김성기', '김성기']","['2019', '2019']","['왓칭', '왓칭']",fit
20198844,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168096,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168096_P09_171654.jpg,7.54,"['피에르 모렐', '피에르 모렐']","['2019', '2018']","['아이 엠 마더', '아이 엠 마더']",fit
20196244,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140649,https://ssl.pstatic.net/imgmovie/mdi/mit110/1406/140649_P11_111034.jpg,5.84,"['데이비드 F. 샌드버그', '데이비드 F. 샌드버그']","['2019', '2019']","['샤잠!', '샤잠!']",fit
20185352,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181414,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181414_P24_174349.jpg,6.82,"['조던 필', '조던 필']","['2019', '2019']","['어스', '어스']",fit
20197423,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181419,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181419_P28_165542.jpg,4.86,"['케빈 콜쉬', '케빈 콜쉬|데니스 위드미어']","['2019', '2019']","['공포의 묘지', '공포의 묘지']",fit
20183773,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180381,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180381_P17_103533.jpg,8.27,"['프랭키 첸', '프랭키 첸']","['2019', '2018']","['장난스런 키스', '장난스런 키스']",fit
20198403,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181912,https://ssl.pstatic.net/imgmovie/mdi/mit110/1819/181912_P10_135327.jpg,8.98,"['저스틴 밸도니', '저스틴 밸도니']","['2019', '2019']","['파이브 피트', '파이브 피트']",fit
20196025,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163787,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163787_P33_174808.jpg,8.94,"['팀 버튼', '팀 버튼']","['2019', '2019']","['덤보', '덤보']",fit
20197092,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182348,https://ssl.pstatic.net/imgmovie/mdi/mit110/1823/182348_P02_174720.jpg,9.30,"['이창근', '이창근']","['2019', '2019']","['로망', '로망']",fit
20198146,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171533,https://ssl.pstatic.net/imgmovie/mdi/mit110/1715/171533_P29_143351.jpg,8.67,"['워시 웨스트모어랜드', '워시 웨스트모어랜드']","['2019', '2018']","['콜레트', '콜레트']",fit
20197846,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153580,https://ssl.pstatic.net/imgmovie/mdi/mit110/1535/153580_P24_103637.jpg,5.78,"['이정범', '이정범']","['2019', '2018']","['악질경찰', '악질경찰']",fit
20175407,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161984,https://ssl.pstatic.net/imgmovie/mdi/mit110/1619/161984_P61_144815.jpg,3.94,"['이수진', '이수진']","['2019', '2018']","['우상', '우상']",fit
20166301,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152624,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152624_P34_161443.jpg,5.93,"['김지혜', '김지혜|']","['2019', '2017']","['썬키스 패밀리', '썬키스 패밀리']",동명영화 없음
20197483,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182407,https://ssl.pstatic.net/imgmovie/mdi/mit110/1824/182407_P00_105405.jpg,8.29,"['신상민', '신상민|']","['2019', '2019']","['1919 유관순', '1919 유관순']",동명영화 없음
20197283,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180425,https://ssl.pstatic.net/imgmovie/mdi/mit110/1804/180425_P19_175210.jpg,7.63,"['애덤 로비텔', '애덤 로비텔']","['2019', '2019']","['이스케이프 룸', '이스케이프 룸']",fit
20197356,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179974,https://ssl.pstatic.net/imgmovie/mdi/mit110/1799/179974_P01_153621.jpg,8.82,"['클린트 이스트우드', '클린트 이스트우드']","['2019', '2018']","['라스트 미션', '라스트 미션']",fit
20198603,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169263,https://ssl.pstatic.net/imgmovie/mdi/mit110/1692/169263_P01_094955.jpg,7.93,"['스도 토모노리', '스도 토모노리|']","['2019', '2019']","['페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이', '페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이']",동명영화 없음
20197617,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149022,https://ssl.pstatic.net/imgmovie/mdi/mit110/1490/149022_P12_110503.jpg,6.94,"['막심 파디브', '막심 파디브|']","['2019', '2015']","['정글북: 마법 원정대', '정글북: 마법 원정대']",동명영화 없음
20184574,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171539,https://ssl.pstatic.net/imgmovie/mdi/mit110/1715/171539_P26_135622.jpg,9.61,"['피터 패럴리', '피터 패럴리|']","['2019', '2018']","['그린 북', '그린 북']",동명영화 없음
20196601,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182360,https://ssl.pstatic.net/imgmovie/mdi/mit110/1823/182360_P11_140223.jpg,8.59,"['조민호', '조민호|']","['2019', '2019']","['항거:유관순 이야기', '항거:유관순 이야기']",동명영화 없음
20182530,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167651,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167651_P106_141030.jpg,8.53,"['이병헌', '이병헌']","['2019', '2018']","['극한직업', '극한직업']",fit
20185881,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177374,https://ssl.pstatic.net/imgmovie/mdi/mit110/1773/177374_P100_112832.jpg,9.07,"['이한', '이한']","['2019', '2018']","['증인', '증인']",fit
20177539,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167099,https://ssl.pstatic.net/imgmovie/mdi/mit110/1670/167099_P13_101134.jpg,7.20,"['장재현', '장재현|']","['2019', '2019']","['사바하', '사바하']",동명영화 없음
20196723,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182206,https://ssl.pstatic.net/imgmovie/mdi/mit110/1822/182206_P12_121114.jpg,8.63,"['아르나드 부롱', '아르나드 부롱|안톤 크링스|']","['2019', '2017']","['숲속왕국의 꿀벌 여왕', '숲속왕국의 꿀벌 여왕']",동명영화 없음
20180937,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148909,https://ssl.pstatic.net/imgmovie/mdi/mit110/1489/148909_P29_164758.jpg,8.77,"['요르고스 란티모스', '요르고스 란티모스|']","['2019', '2018']","['더 페이버릿: 여왕의 여자', '더 페이버릿: 여왕의 여자']",동명영화 없음
20177282,https://movie.naver.com/movie/bi/mi/basic.nhn?code=170953,https://ssl.pstatic.net/imgmovie/mdi/mit110/1709/170953_P08_140411.jpg,8.10,"['라파엘 리바스', '라파엘 리바스']","['2019', '2017']","['리노', '리노']",fit
20176442,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159070,https://ssl.pstatic.net/imgmovie/mdi/mit110/1590/159070_P13_114738.jpg,3.84,"['김유성', '김유성|']","['2019', '2018']","['자전차왕 엄복동', '자전차왕 엄복동']",동명영화 없음
20195743,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181959,https://ssl.pstatic.net/imgmovie/mdi/mit110/1819/181959_P11_114544.jpg,6.37,"['린 사우더랜드', '린 사우더랜드|']","['2019', '2018']","['신데렐라:마법 반지의 비밀', '신데렐라:마법 반지의 비밀']",동명영화 없음
20195791,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167629,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167629_P17_105046.jpg,4.50,"['박수진', '박호찬|박수진|']","['2019', '2018']","['어쩌다, 결혼', '어쩌다, 결혼']",동명영화 없음
20186261,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109193,https://ssl.pstatic.net/imgmovie/mdi/mit110/1091/109193_P21_103935.jpg,9.24,"['딘 데블로이스', '딘 데블로이스|']","['2019', '2019']","['드래곤 길들이기 3', '드래곤 길들이기 3']",동명영화 없음
20188282,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66728,https://ssl.pstatic.net/imgmovie/mdi/mit110/0667/66728_P38_102726.jpg,8.71,"['로버트 로드리게즈', '로버트 로드리게즈|']","['2019', '2018']","['알리타: 배틀 엔젤', '알리타: 배틀 엔젤']",동명영화 없음
20195915,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181411,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181411_P02_101349.jpg,7.39,"['크리스토퍼 랜던', '크리스토퍼 랜던|']","['2019', '2019']","['해피 데스데이 2 유', '해피 데스데이 2 유']",동명영화 없음
20020222,https://movie.naver.com/movie/bi/mi/basic.nhn?code=33930,https://ssl.pstatic.net/imgmovie/mdi/mit110/0339/C3930-06.jpg,8.86,"['크리스 콜럼버스', '크리스 콜럼버스|']","['2002', '2002']","['해리포터와 비밀의 방', '해리 포터와 비밀의 방']",동명영화 없음
20185576,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181409,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181409_P30_100656.jpg,6.58,"['한스 페터 몰란트', '한스 페터 몰란트|']","['2019', '2019']","['콜드 체이싱', '콜드 체이싱']",동명영화 없음
20184888,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151151,https://ssl.pstatic.net/imgmovie/mdi/mit110/1511/151151_P24_105029.jpg,8.18,"['롭 마샬', '롭 마샬|']","['2019', '2018']","['메리 포핀스 리턴즈', '메리 포핀스 리턴즈']",동명영화 없음
20174169,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169078,https://ssl.pstatic.net/imgmovie/mdi/mit110/1690/169078_P66_101231.jpg,5.89,"['이민재', '이민재|']","['2019', '2018']","['기묘한 가족', '기묘한 가족']",동명영화 없음
20180868,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164173,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164173_P45_171744.jpg,6.08,"['한준희', '한준희|']","['2019', '2018']","['뺑반', '뺑반']",동명영화 없음
20162003,https://movie.naver.com/movie/bi/mi/basic.nhn?code=48233,https://ssl.pstatic.net/imgmovie/mdi/mit110/0482/48233_P05_140218.jpg,8.29,"['야마모토 야스이치로', '야마모토 야스이치로|']","['2019', '2008']","['명탐정 코난:전율의 악보', '명탐정 코난:전율의 악보']",동명영화 없음
20185478,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181554,https://ssl.pstatic.net/imgmovie/mdi/mit110/1815/181554_P23_112202.jpg,8.75,"['김진철', '최신규|김진철|']","['2019', '2019']","['극장판 헬로카봇: 옴파로스 섬의 비밀', '극장판 헬로카봇:옴파로스 섬의 비밀']",동명영화 없음
20185444,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125438,https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125438_P06_114959.jpg,8.73,"['마이크 미첼', '마이크 미첼|']","['2019', '2019']","['레고 무비2', '레고 무비2']",동명영화 없음
20184105,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167699,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167699_P40_175859.jpg,9.07,"['엄유나', '엄유나|']","['2019', '2018']","['말모이', '말모이']",동명영화 없음
20185124,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180220,https://ssl.pstatic.net/imgmovie/mdi/mit110/1802/180220_P01_102406.jpg,9.28,"['', '']","['2019', '2018']","['러브 유어셀프 인 서울', '러브 유어셀프 인 서울']",동명영화 없음
20184896,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174830,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174830_P17_104205.jpg,9.59,"['나딘 라바키', '나딘 라바키|']","['2019', '2018']","['가버나움', '가버나움']",동명영화 없음
